source,fetched_at,headline,posted_at,reporter,url
TechCrunch,2026-07-11T15:02:20Z,OpenAI bets on families as ChatGPT goes deeper into households,2026-07-11T14:13:00Z,TechCrunch,https://techcrunch.com/2026/07/11/openai-bets-on-families-as-chatgpt-goes-deeper-into-households/
TechCrunch,2026-07-11T15:02:20Z,"US cybersecurity agency CISA had to build its incident playbook during the incident, agency reveals",2026-07-11T01:01:28Z,TechCrunch,https://techcrunch.com/2026/07/10/us-cyber-agency-cisa-had-to-build-its-incident-playbook-during-the-incident-agency-reveals/
TechCrunch,2026-07-11T15:02:20Z,"Phia accused of ‘cookie stuffing,’ taking affiliate credit on purchases it didn’t earn",2026-07-11T00:29:25Z,TechCrunch,https://techcrunch.com/2026/07/10/phia-accused-of-cookie-stuffing-taking-affiliate-credit-on-purchases-it-didnt-earn/
TechCrunch,2026-07-11T15:02:20Z,Meta removes controversial AI feature on Instagram after backlash,2026-07-10T23:55:07Z,TechCrunch,https://techcrunch.com/2026/07/10/meta-removes-controversial-ai-feature-on-instagram-after-backlash/
TechCrunch,2026-07-11T15:02:20Z,"Bluesky’s interim CEO, Toni Schneider, drops the ‘interim’",2026-07-10T21:51:55Z,TechCrunch,https://techcrunch.com/2026/07/10/blueskys-interim-ceo-toni-schneider-drops-the-interim/
TechCrunch,2026-07-11T15:02:20Z,Apple sues OpenAI over alleged trade secret theft,2026-07-10T21:00:29Z,TechCrunch,https://techcrunch.com/2026/07/10/apple-sues-openai-over-alleged-trade-secret-theft/
TechCrunch,2026-07-11T15:02:20Z,Filing: College app Fizz accuses VC of sharing confidential startup information with rival Sidechat,2026-07-10T17:42:36Z,TechCrunch,https://techcrunch.com/2026/07/10/filing-college-app-fizz-accuses-vc-of-sharing-confidential-startup-information-with-rival-sidechat/
TechCrunch,2026-07-11T15:02:20Z,"SK Hynix raises $26.5B in the biggest foreign IPO in US history, is urged to build new US fabs",2026-07-10T17:17:12Z,TechCrunch,https://techcrunch.com/2026/07/10/sk-hynix-raises-26-5b-in-the-biggest-foreign-ipo-in-us-history-is-urged-to-build-new-us-fabs/
TechCrunch,2026-07-11T15:02:20Z,"A new app, HyperTexting, turns the open web into a scrollable social media-like feed",2026-07-10T17:11:51Z,TechCrunch,https://techcrunch.com/2026/07/10/a-new-app-hypertexting-turns-the-open-web-into-a-scrollable-social-media-like-feed/
TechCrunch,2026-07-11T15:02:20Z,China is catching up to Elon Musk’s reusable rockets,2026-07-10T16:51:07Z,TechCrunch,https://techcrunch.com/2026/07/10/china-is-catching-up-to-elon-musks-reusable-rockets/
